Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1801-S7 (User should be able to select Yes option on saving product),Chrome 99.0.4844.82,User should be able to select Yes option on saving product,,2022-03-24 16:03:31,2022-03-24 16:03:33,1.969s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/Save/button_Yes(Save)""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:32,2022-03-24 16:03:32,0.453s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:03:32,2022-03-24 16:03:33,1.011s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1802-S7 (User should be able to select No option on saving product),Chrome 99.0.4844.82,User should be able to select No option on saving product,,2022-03-24 16:03:33,2022-03-24 16:03:38,4.445s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/Edit_TestProduct""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:34,2022-03-24 16:03:34,0.500s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:03:34,2022-03-24 16:03:35,1.008s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/button_Save""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:35,2022-03-24 16:03:36,1.032s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:03:36,2022-03-24 16:03:37,1.011s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/Save/button_No(Save)""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:37,2022-03-24 16:03:38,0.492s,PASSED
