Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1779-S7 (User should be able to fill Hazmat description field),Chrome 99.0.4844.82,User should be able to fill Hazmat description field,,2022-03-24 15:43:31,2022-03-24 15:43:33,2.212s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/textarea_Hazmat Description""), ""Test Hazmart Description for Automation"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:31,2022-03-24 15:43:32,0.840s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:32,2022-03-24 15:43:33,1.004s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1780-S7 (User should be able to select Save button),Chrome 99.0.4844.82,User should be able to select Save button,,2022-03-24 15:43:33,2022-03-24 15:43:35,1.908s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_Save""))",Chrome 99.0.4844.82,,,2022-03-24 15:43:34,2022-03-24 15:43:34,0.509s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:34,2022-03-24 15:43:35,1.012s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1781-S7 (User should be able to select Yes option on saving product),Chrome 99.0.4844.82,User should be able to select Yes option on saving product,,2022-03-24 15:43:35,2022-03-24 15:43:36,0.790s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_Yes(Save)""))",Chrome 99.0.4844.82,,,2022-03-24 15:43:35,2022-03-24 15:43:36,0.422s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1782-S7 (Product Should be saved),Chrome 99.0.4844.82,User should be able to select Yes option on saving product,,2022-03-24 15:43:36,2022-03-24 15:43:38,2.462s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 15:43:36,2022-03-24 15:43:38,2.014s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1783-S7 (User should be able to select No option on saving product),Chrome 99.0.4844.82,User should be able to select No option on saving product,,2022-03-24 15:43:38,2022-03-24 15:43:59,20.393s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_Add New Product""))",Chrome 99.0.4844.82,,,2022-03-24 15:43:39,2022-03-24 15:43:39,0.428s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:39,2022-03-24 15:43:40,1.008s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/input_Product Description""), ""Negative Path"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:40,2022-03-24 15:43:41,0.774s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:41,2022-03-24 15:43:42,1.018s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/input_Product Code""), ""0000000"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:42,2022-03-24 15:43:43,0.799s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:43,2022-03-24 15:43:44,1.010s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/input_Class""), ""Negative Path Class"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:44,2022-03-24 15:43:45,0.860s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:45,2022-03-24 15:43:46,1.011s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/input_NMFC""), ""Negative Path NMFC"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:46,2022-03-24 15:43:47,0.826s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:47,2022-03-24 15:43:48,1.019s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/Hazmat_Yes""))",Chrome 99.0.4844.82,,,2022-03-24 15:43:48,2022-03-24 15:43:48,0.462s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:48,2022-03-24 15:43:49,1.006s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/input_UN""), ""1478"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:49,2022-03-24 15:43:50,0.802s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:50,2022-03-24 15:43:51,1.011s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/textarea_Hazmat Description""), ""Negative Path"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:51,2022-03-24 15:43:52,0.804s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:52,2022-03-24 15:43:53,1.016s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_Save""))",Chrome 99.0.4844.82,,,2022-03-24 15:43:53,2022-03-24 15:43:53,0.524s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 15:43:53,2022-03-24 15:43:55,2.009s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_No(Save)""))",Chrome 99.0.4844.82,,,2022-03-24 15:43:55,2022-03-24 15:43:56,0.544s,PASSED
delay(3),Chrome 99.0.4844.82,,,2022-03-24 15:43:56,2022-03-24 15:43:59,3.009s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1784-S7 (User should be able to select Cancel button),Chrome 99.0.4844.82,User should be able to select Cancel button,,2022-03-24 15:43:59,2022-03-24 15:44:04,5.699s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_Add New Product""))",Chrome 99.0.4844.82,,,2022-03-24 15:43:59,2022-03-24 15:44:00,0.405s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:44:00,2022-03-24 15:44:01,1.015s,PASSED
